Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,66006,1905,6,58.2,Y
IDCJAC0001,66006,1905,7,11.4,Y
IDCJAC0001,66006,1905,8,17.8,Y
IDCJAC0001,66006,1905,9,69.3,Y
IDCJAC0001,66006,1905,10,64,Y
IDCJAC0001,66006,1905,11,9.9,Y
IDCJAC0001,66006,1905,12,42.9,Y
IDCJAC0001,66006,1906,1,58.4,Y
IDCJAC0001,66006,1906,2,9.7,Y
IDCJAC0001,66006,1906,3,99.3,Y
IDCJAC0001,66006,1906,4,23.9,Y
IDCJAC0001,66006,1906,5,213.6,Y
IDCJAC0001,66006,1906,6,54.9,Y
IDCJAC0001,66006,1906,7,5.6,Y
IDCJAC0001,66006,1906,8,131.6,Y
IDCJAC0001,66006,1906,9,33,Y
IDCJAC0001,66006,1906,10,48,Y
IDCJAC0001,66006,1906,11,109.5,Y
IDCJAC0001,66006,1906,12,33.8,Y
IDCJAC0001,66006,1907,1,66,Y
IDCJAC0001,66006,1907,2,63,Y
IDCJAC0001,66006,1907,3,203.7,Y
IDCJAC0001,66006,1907,4,35.1,Y
IDCJAC0001,66006,1907,5,38.6,Y
IDCJAC0001,66006,1907,6,254.5,Y
IDCJAC0001,66006,1907,7,11.2,Y
IDCJAC0001,66006,1907,8,7.6,Y
IDCJAC0001,66006,1907,9,7.1,Y
IDCJAC0001,66006,1907,10,14.5,Y
IDCJAC0001,66006,1907,11,52.3,Y
IDCJAC0001,66006,1907,12,45.2,Y
IDCJAC0001,66006,1908,1,43.9,Y
IDCJAC0001,66006,1908,2,182.1,Y
IDCJAC0001,66006,1908,3,70.4,Y
IDCJAC0001,66006,1908,4,73.4,Y
IDCJAC0001,66006,1908,5,67.1,Y
IDCJAC0001,66006,1908,6,25.4,Y
IDCJAC0001,66006,1908,7,290.1,Y
IDCJAC0001,66006,1908,8,243.8,Y
IDCJAC0001,66006,1908,9,75.4,Y
IDCJAC0001,66006,1908,10,38.1,Y
IDCJAC0001,66006,1908,11,16.5,Y
IDCJAC0001,66006,1908,12,31.8,Y
IDCJAC0001,66006,1909,1,32.5,Y
IDCJAC0001,66006,1909,2,202.7,Y
IDCJAC0001,66006,1909,3,34.8,Y
IDCJAC0001,66006,1909,4,34.8,Y
IDCJAC0001,66006,1909,5,30.7,Y
IDCJAC0001,66006,1909,6,117.6,Y
IDCJAC0001,66006,1909,7,22.8,Y
IDCJAC0001,66006,1909,8,56.7,Y
IDCJAC0001,66006,1909,9,132.3,Y
IDCJAC0001,66006,1909,10,66.9,Y
IDCJAC0001,66006,1909,11,23.1,Y
IDCJAC0001,66006,1909,12,86.4,Y
IDCJAC0001,66006,1910,1,128.2,Y
IDCJAC0001,66006,1910,2,11.8,Y
IDCJAC0001,66006,1910,3,184.5,Y
IDCJAC0001,66006,1910,4,94.7,Y
IDCJAC0001,66006,1910,5,68.2,Y
IDCJAC0001,66006,1910,6,78.8,Y
IDCJAC0001,66006,1910,7,225.7,Y
IDCJAC0001,66006,1910,8,5.8,Y
IDCJAC0001,66006,1910,9,53.1,Y
IDCJAC0001,66006,1910,10,84,Y
IDCJAC0001,66006,1910,11,4.9,Y
IDCJAC0001,66006,1910,12,214,Y
IDCJAC0001,66006,1911,1,369,Y
IDCJAC0001,66006,1911,2,131.9,Y
IDCJAC0001,66006,1911,3,48.6,Y
IDCJAC0001,66006,1911,4,77,Y
IDCJAC0001,66006,1911,5,40,Y
IDCJAC0001,66006,1911,6,4,Y
IDCJAC0001,66006,1911,7,188.1,Y
IDCJAC0001,66006,1911,8,202.7,Y
IDCJAC0001,66006,1911,9,47,Y
IDCJAC0001,66006,1911,10,17.9,Y
IDCJAC0001,66006,1911,11,46,Y
IDCJAC0001,66006,1911,12,70.1,Y
